OBJECTID,price,m2,rooms_number,market,building_type,floor_no,building_floor,windows_type,heating,build_year,construction,rent,building_ownership,latitude,longitude,building_material,metro_distance,bust_tram_distance,rail_distance,centre_travel_time,park_distance,uniqueID,district_numerical,is_duplicate,labels,geometry
6513,11622758.0,306.75,0,1,1,7,7,1,5,2010,3,0.0,3,52.25393,20.9957,9,413.55,70.72,617.64,11,250.0,6534,9,False,0,POINT (20.9957 52.25393)
12002,1295000.0,59.98,3,1,0,4,6,1,5,2015,0,1000.0,0,52.2448173,20.9657998,1,843.56,17.9,486.8,15,571.0,12044,17,False,0,POINT (20.9657998 52.2448173)
11754,875000.0,64.25,3,1,0,2,7,1,5,2024,1,0.0,3,52.2011163117,20.8841853059,9,4613.82,432.1,552.43,27,876.0,11795,11,False,2,POINT (20.8841853059 52.2011163117)
8720,797736.0,46.38,3,0,0,1,2,1,5,2026,3,0.0,0,52.3010165138,20.9370714075,9,1173.76,99.44,4461.62,19,309.0,8745,3,False,1,POINT (20.9370714075 52.3010165138)
5244,775000.0,55.9,3,1,1,9,10,1,5,1970,2,800.0,1,52.2723097,20.9627289,4,470.5,285.59,1915.19,19,238.0,5263,3,False,0,POINT (20.9627289 52.2723097)
9326,530000.0,36.0,2,1,1,0,10,1,5,1979,3,615.0,0,52.29635,21.0335,9,359.89,50.01,1432.89,18,176.0,9352,10,False,0,POINT (21.0335 52.29635)
11260,1200000.0,80.2,2,1,1,8,15,1,5,2004,3,1300.0,0,52.18315,21.02544,9,202.96,249.6,2645.59,14,562.0,11300,4,False,0,POINT (21.02544 52.18315)
6377,899000.0,64.4,4,1,1,2,4,1,5,1977,2,700.0,1,52.17546,21.05744,9,2120.09,339.01,4843.19,22,651.0,6398,4,False,1,POINT (21.05744 52.17546)
7161,920000.0,40.7,2,1,1,6,8,1,5,2023,0,0.0,0,52.2209,20.9558,3,1401.63,253.82,408.12,15,796.0,7183,17,False,0,POINT (20.9558 52.2209)
8738,1785000.0,68.69,3,1,0,3,7,1,5,2016,0,950.0,0,52.2601120564,20.9713768959,9,1261.31,169.21,448.57,17,690.0,8763,18,False,0,POINT (20.9713768959 52.2601120564)
